PMRP_SUBJECT_ID,EXOME_ID
4656,MC.160243@1075680521
4670,MC.159882@1075641678
4671,MC.159871@1075638228
4673,MC.159664@1075641663
4679,MC.159366@1075641672
4685,MC.AMD101751@0123890959
4689,MC.AMD107717@0123911484
4696,MC.161007@1075641676
4708,4547370-1-0238042497
4712,MC.159081@1075641700
4720,MC.AMD107034@0123889414
4721,3301188-1-0238096193
4743,MC.AMD112705@0123889984
4745,MC.157468@1075641688
4747,MC.157838@1075641693
4753,MC.161353@1075641696
4769,MC.AMD135662@0123890954
4772,3139798-1-0238096260
4787,MC.AMD135257@0123890958
4796,MC.AMD102385@0123890930
4812,1995358-1-0238096214
4813,MC.AMD116719@0123890945
4820,MC.AMD101103@0123890949
4842,MC.AMD108127@0123890943
4852,MC.AMD101211@0123890928
4854,MC.AMD129383@0123911458
4855,MC.AMD102609@0123890890
4856,4572647-1-0238096189
4872,MC.AMD108389@0123911441
4879,MC.158677@1075678184
4884,MC.158079@1075641713
4885,MC.AMD104296@0123911277
4886,8742208-1-0238096136
4887,MC.157847@1075678186
4911,MC.AMD113134@0123911276
4915,MC.AMD100229@0123911443
4927,7129943-1-0238040867
4932,9202466-1-0238096254
4935,MC.160784@1075678187
4940,MC.158021@1075678183
4950,MC.158758@1075678190
4954,MC.AMD117082@0123911431
4957,MC.AMD101087@0123909071
4973,4890380-1-0238096112
4976,
4978,MC.160889@1075678170
4993,
5001,MC.157156@1075678162
5004,MC.AMD100866@0123890926
5007,MC.AMD112243@0123911225
5013,MC.AMD102766@0123911265
5054,MC.AMD125007@0123889297
5057,MC.AMD100304@0123911260
5062,
5064,MC.AMD113890@0123889412
5073,MC.AMD100097@0123909068
5074,MC.158499@1075678204
5075,
5079,MC.157888@1075678208
5084,3464611-1-0238096122
5088,4711877-1-0238040956
5094,MC.157327@1075678211
5096,MC.158110@1075678210
5105,MC.157239@1075678212
5113,MC.159742@1075678227
5117,MC.159334@1075678235
5122,6247662-1-0238096139
5124,
5137,8247903-1-0238096094
5145,MC.AMD106447@0123890910
5158,MC.AMD120165@0123890897
5161,2925193-1-0238096149
5165,MC.157609@1075676756
5167,1917918-1-0238096093
5170,MC.158326@1075678246
5175,2158384-1-0238096116
5181,MC.AMD104091@0123890902
5186,4176349-1-0238096033
5193,3994119-1-0238096140
5198,MC.AMD104797@0123911218
5199,MC.AMD134243@0123911215
5200,MC.AMD101478@0123890914
5202,MC.AMD105736@0123890915
5207,
5234,MC.AMD129069@0123911227
5241,MC.157348@1075678245
5258,4810747-1-0224008214
5267,MC.AMD100333@0123911220
5268,MC.158342@1075678237
